# RoboMaster 2026分区赛队伍数据
# full_form_ranking: 本年完整形态排名
# category_2025: national(全国赛) / revival(复活赛) / division(分区赛) / not_participated(未参加对抗赛)
# detail_2025: champion(冠军) / runner_up(亚军) / third_place(季军) / fourth_place(殿军) / quarter_finalist(八强) / top_16(十六强) / top_32(三十二强)
# 队伍类型: 甲级 / 非甲级
# rmul_2026_top4: champion(联盟赛4强冠军) / runner_up(联盟赛4强亚军) / third_place(联盟赛4强季军) / fourth_place(联盟赛4强殿军)

school,team,team_type,city,distance_to_changsha,distance_to_jinan,distance_to_shenyang,points_rank,points,participated_2025,category_2025,detail_2025,full_form_ranking,rmul_2026_top4
江苏大学,Aurora,非甲级,镇江市,762,539,1126,114,5.6,True,division,division,47,
内蒙古科技大学,雷霆,非甲级,包头市,1408,763,1134,118,5.575,False,not_participated,,80,
广西大学,ROBOTZ,非甲级,南宁市,759,1755,2536,120,5.425,True,division,division,57,
香港科技大学（广州）,PnX,非甲级,广州市,564,1549,2281,120,5.425,True,division,division,44,
重庆理工大学,士继DREAMER,非甲级,重庆市,536,1128,1909,128,5.25,True,division,division,90,
南京理工大学江阴校区,Combat,非甲级,无锡市,800,636,1171,128,5.25,False,not_participated,,83,
辽宁石油化工大学,TCN,非甲级,抚顺市,1815,824,42,134,5.025,False,not_participated,,82,
广州航海学院,ICBK破冰船,非甲级,广州市,564,1549,2281,152,4.65,False,not_participated,,60,fourth_place
武汉科技大学,崇实,非甲级,武汉市,294,724,1491,152,4.65,False,not_participated,,35,
杭州电子科技大学,PHOENIX,非甲级,杭州市,738,767,1317,163,4.48,False,not_participated,,55,
华南师范大学（佛山校区）,VANGUARD,非甲级,佛山市,576,1563,2297,182,4.175,False,not_participated,,89,
武汉大学,珞珈狐,非甲级,武汉市,294,724,1491,185,4.13,False,not_participated,,95,
厦门理工学院,PFA,非甲级,厦门市,656,1357,1988,190,4.0,False,not_participated,,87,
上海大学,SRM,非甲级,上海市,887,724,1188,191,3.975,False,not_participated,,64,
厦门大学,RCS,非甲级,厦门市,656,1357,1988,193,3.9,False,not_participated,,70,
复旦大学,星云EGA,非甲级,上海市,887,724,1188,220,3.125,False,not_participated,,49,
江南大学霞客湾校区,SHARK,非甲级,无锡市,800,636,1171,220,3.125,False,not_participated,,22,runner_up
